ObjectName,ObjectType,PrincipalName,PrincipalType,ActiveDirectoryRights,ACEType,AccessControlType,IsInherited
ADMINISTRATORS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,Owner,,AccessAllowed,False
USERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,Owner,,AccessAllowed,False
USERS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,False
USERS@CYBERSPACEKITTENS.LOCAL,group,Account Operators@cyberspacekittens.local,GROUP,GenericAll,,AccessAllowed,False
USERS@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,True
USERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteOwner,,AccessAllowed,True
USERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteDacl,,AccessAllowed,True
USERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,ExtendedRight,All,AccessAllowed,True
GUESTS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,Owner,,AccessAllowed,False
GUESTS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,False
GUESTS@CYBERSPACEKITTENS.LOCAL,group,Account Operators@cyberspacekittens.local,GROUP,GenericAll,,AccessAllowed,False
GUESTS@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,True
GUESTS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteOwner,,AccessAllowed,True
GUESTS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteDacl,,AccessAllowed,True
GUESTS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,ExtendedRight,All,AccessAllowed,True
PRINT OPERATORS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,Owner,,AccessAllowed,False
BACKUP OPERATORS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,Owner,,AccessAllowed,False
REPLICATOR@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,Owner,,AccessAllowed,False
REMOTE DESKTOP USERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,Owner,,AccessAllowed,False
REMOTE DESKTOP USERS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,False
REMOTE DESKTOP USERS@CYBERSPACEKITTENS.LOCAL,group,Account Operators@cyberspacekittens.local,GROUP,GenericAll,,AccessAllowed,False
REMOTE DESKTOP USERS@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,True
REMOTE DESKTOP USERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteOwner,,AccessAllowed,True
REMOTE DESKTOP USERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteDacl,,AccessAllowed,True
REMOTE DESKTOP USERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,ExtendedRight,All,AccessAllowed,True
NETWORK CONFIGURATION OPERATORS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,Owner,,AccessAllowed,False
