ComputerName,AccountName,AccountType
CSK-DC.CYBERSPACEKITTENS.LOCAL,ADMINISTRATOR@CYBERSPACEKITTENS.LOCAL,user
CSK-DC.CYBERSPACEKITTENS.LOCAL,ELON.MUSKKAT@CYBERSPACEKITTENS.LOCAL,user
CSK-DC.CYBERSPACEKITTENS.LOCAL,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group
CSK-DC.CYBERSPACEKITTENS.LOCAL,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group
BUZZ.CYBERSPACEKITTENS.LOCAL,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group
BUZZ.CYBERSPACEKITTENS.LOCAL,HELPDESK@CYBERSPACEKITTENS.LOCAL,group
BUZZ.CYBERSPACEKITTENS.LOCAL,BUZZ.CLAWDRIN@CYBERSPACEKITTENS.LOCAL,user
BUZZ.CYBERSPACEKITTENS.LOCAL,NEIL.PAWSTRONG@CYBERSPACEKITTENS.LOCAL,user
KITTY.CYBERSPACEKITTENS.LOCAL,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group
KITTY.CYBERSPACEKITTENS.LOCAL,HELPDESK@CYBERSPACEKITTENS.LOCAL,group
KITTY.CYBERSPACEKITTENS.LOCAL,KITTY.RIDE@CYBERSPACEKITTENS.LOCAL,user
CHRIS.CYBERSPACEKITTENS.LOCAL,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group
CHRIS.CYBERSPACEKITTENS.LOCAL,HELPDESK@CYBERSPACEKITTENS.LOCAL,group
CHRIS.CYBERSPACEKITTENS.LOCAL,CHRIS.CATFIELD@CYBERSPACEKITTENS.LOCAL,user
NEIL.CYBERSPACEKITTENS.LOCAL,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group
NEIL.CYBERSPACEKITTENS.LOCAL,HELPDESK@CYBERSPACEKITTENS.LOCAL,group
NEIL.CYBERSPACEKITTENS.LOCAL,NEIL.PAWSTRONG@CYBERSPACEKITTENS.LOCAL,user
CSK-GITHUB.CYBERSPACEKITTENS.LOCAL,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group
CSK-GITHUB.CYBERSPACEKITTENS.LOCAL,HELPDESK@CYBERSPACEKITTENS.LOCAL,group
CSK-GITHUB.CYBERSPACEKITTENS.LOCAL,CSK-GITHUB@CYBERSPACEKITTENS.LOCAL,user
CSK-LAB.CYBERSPACEKITTENS.LOCAL,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group
CSK-LAB.CYBERSPACEKITTENS.LOCAL,HELPDESK@CYBERSPACEKITTENS.LOCAL,group
CSK-LAB.CYBERSPACEKITTENS.LOCAL,PURRI.GAGARIN@CYBERSPACEKITTENS.LOCAL,user
CSK-LAB.CYBERSPACEKITTENS.LOCAL,BUZZ.CLAWDRIN@CYBERSPACEKITTENS.LOCAL,user
